price,area,price_per_m2,location,bedroom,bathroom
17 tỷ,"67,5 m²","251,85 tr/m²","Gia Lâm, Hà Nội",,
50 triệu,62 m²,"806,45 nghìn/m²","Nhà Bè, Hồ Chí Minh",2,2
"3,99 tỷ",81 m²,"49,26 tr/m²","Bình Tân, Hồ Chí Minh",2,2
"15,2 tỷ",70 m²,"217,14 tr/m²","Quận 2, Hồ Chí Minh",2,2
777 triệu,210 m²,"3,7 tr/m²","Bàu Bàng, Bình Dương",,
"5,1 tỷ",83 m²,"61,45 tr/m²","Bắc Từ Liêm, Hà Nội",2,2
6 tỷ,"70,5 m²","85,11 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2
Giá thỏa thuận,170 m²,,"Hoài Đức, Hà Nội",,
Giá thỏa thuận,110 m²,,"Bắc Từ Liêm, Hà Nội",3,2
"3,16 tỷ","83,9 m²","37,65 tr/m²","Vũng Tàu, Bà Rịa Vũng Tàu",2,2
Giá thỏa thuận,71 m²,,"Quận 2, Hồ Chí Minh",2,2
"10,5 tỷ",118 m²,"88,98 tr/m²","Bình Thạnh, Hồ Chí Minh",3,2
"14,5 tỷ","62,5 m²",232 tr/m²,"Đông Anh, Hà Nội",,
Giá thỏa thuận,32 m²,,"Gia Lâm, Hà Nội",1,1
7 tỷ,90 m²,"77,78 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2
"1,72 tỷ","28,2 m²","60,99 tr/m²","Gia Lâm, Hà Nội",1,1
"2,35 tỷ",120 m²,"19,58 tr/m²","Phù Cừ, Hưng Yên",,
"4,12 tỷ",75 m²,55 tr/m²,"Hoàng Mai, Hà Nội",2,2
30 tỷ,180 m²,"166,67 tr/m²","Văn Giang, Hưng Yên",6,4
"7,3 tỷ",77 m²,"94,8 tr/m²","Quận 2, Hồ Chí Minh",2,2
"8,9 tỷ","97,3 m²","91,47 tr/m²","Thanh Xuân, Hà Nội",3,3
"3,75 tỷ",68 m²,"55,15 tr/m²","Hoàng Mai, Hà Nội",2,2
"7,94 tỷ","78,5 m²","101,15 tr/m²","Quận 1, Hồ Chí Minh",2,2
"5,4 tỷ","68,5 m²","78,83 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2
"2,82 tỷ","69,7 m²","40,5 tr/m²","Dĩ An, Bình Dương",2,2
"1,65 tỷ","55,6 m²","29,62 tr/m²","Dĩ An, Bình Dương",2,1
"3,2 tỷ",58 m²,"55,17 tr/m²","Sơn Trà, Đà Nẵng",1,1
"18,9 tỷ",80 m²,"236,25 tr/m²","Đông Anh, Hà Nội",5,4
46 tỷ,498 m²,"92,37 tr/m²","Bình Tân, Hồ Chí Minh",,
Giá thỏa thuận,40 m²,,"Đông Anh, Hà Nội",1,
"6,8 tỷ",85 m²,80 tr/m²,"Bình Thạnh, Hồ Chí Minh",2,2
525 triệu,54 m²,"9,72 tr/m²","Quận 7, Hồ Chí Minh",2,1
75 tỷ,180 m²,"416,67 tr/m²","Quận 7, Hồ Chí Minh",5,5
"14,98 tỷ",65 m²,"230,46 tr/m²","Đông Anh, Hà Nội",5,5
Giá thỏa thuận,31 m²,,"Hà Đông, Hà Nội",3,
"3,1 tỷ",69 m²,"44,93 tr/m²","Quận 9, Hồ Chí Minh",2,2
"19,9 tỷ",77 m²,"258,44 tr/m²","Quận 2, Hồ Chí Minh",2,2
"10,5 tỷ",110 m²,"95,46 tr/m²","Bình Thạnh, Hồ Chí Minh",3,2
"13,6 tỷ",84 m²,"161,9 tr/m²","Văn Giang, Hưng Yên",8,8
"16,9 tỷ",120 m²,"140,83 tr/m²","Văn Giang, Hưng Yên",8,4
"16,9 tỷ",120 m²,"140,83 tr/m²","Văn Giang, Hưng Yên",8,4
"4,84 tỷ",88 m²,55 tr/m²,"Sơn Trà, Đà Nẵng",3,2
10 tỷ,75 m²,"133,33 tr/m²","Văn Giang, Hưng Yên",,
Giá thỏa thuận,72 m²,,"Đan Phượng, Hà Nội",4,4
"2,65 tỷ",59 m²,"44,92 tr/m²","Gia Lâm, Hà Nội",2,1
"15,92 tỷ","62,5 m²","254,72 tr/m²","Đông Anh, Hà Nội",,
"2,2 tỷ",43 m²,"51,16 tr/m²","Gia Lâm, Hà Nội",1,1
Giá thỏa thuận,66 m²,,"Gia Lâm, Hà Nội",2,2
7 tỷ,63 m²,"111,11 tr/m²","Văn Giang, Hưng Yên",,
"2,8 tỷ",56 m²,50 tr/m²,"Bình Tân, Hồ Chí Minh",2,1
"4,2 tỷ","78,6 m²","53,44 tr/m²","Sơn Trà, Đà Nẵng",2,2
"3,7 tỷ",68 m²,"54,41 tr/m²","Hoàng Mai, Hà Nội",2,2
10 tỷ,120 m²,"83,33 tr/m²","Bình Thạnh, Hồ Chí Minh",3,2
Giá thỏa thuận,"28,5 m²",,"Nam Từ Liêm, Hà Nội",1,
Giá thỏa thuận,120 m²,,"Đan Phượng, Hà Nội",4,4
47 tỷ,137 m²,"343,07 tr/m²","Quận 2, Hồ Chí Minh",3,2
"3,47 tỷ",68 m²,51 tr/m²,"Hoàng Mai, Hà Nội",2,2
4 tỷ,85 m²,"47,06 tr/m²","Bình Chánh, Hồ Chí Minh",,
Giá thỏa thuận,68 m²,,"Đông Anh, Hà Nội",2,2
"48,4 tỷ",150 m²,"322,67 tr/m²","Tây Hồ, Hà Nội",5,4
Giá thỏa thuận,68 m²,,"Đông Anh, Hà Nội",2,2
"48,4 tỷ",150 m²,"322,67 tr/m²","Tây Hồ, Hà Nội",5,4
"3,15 tỷ",52 m²,"60,58 tr/m²","Nam Từ Liêm, Hà Nội",3,2
9 tỷ,78 m²,"115,38 tr/m²","Văn Giang, Hưng Yên",7,5
"26,9 tỷ",80 m²,"336,25 tr/m²","Đông Anh, Hà Nội",5,6
Giá thỏa thuận,72 m²,,"Đan Phượng, Hà Nội",4,3
"4,5 tỷ",66 m²,"68,18 tr/m²","Quận 7, Hồ Chí Minh",2,2
"2,74 tỷ",72 m²,38 tr/m²,"Vũng Tàu, Bà Rịa Vũng Tàu",2,2
Giá thỏa thuận,75 m²,,"Quận 2, Hồ Chí Minh",2,2
"9,6 tỷ",63 m²,"152,38 tr/m²","Văn Giang, Hưng Yên",6,5
Giá thỏa thuận,64 m²,,"Gia Lâm, Hà Nội",2,2
"2,8 tỷ",41 m²,"68,29 tr/m²","Gia Lâm, Hà Nội",3,
"52,2 tỷ",150 m²,348 tr/m²,"Tây Hồ, Hà Nội",5,7
"7,49 tỷ",54 m²,"138,7 tr/m²","Văn Giang, Hưng Yên",3,
"12,9 tỷ",100 m²,129 tr/m²,"Văn Giang, Hưng Yên",,
"4,2 tỷ",72 m²,"58,33 tr/m²","Quận 7, Hồ Chí Minh",2,2
"4,3 tỷ",66 m²,"65,15 tr/m²","Quận 7, Hồ Chí Minh",2,2
Giá thỏa thuận,43 m²,,"Gia Lâm, Hà Nội",1,1
"6,69 tỷ",120 m²,"55,75 tr/m²","Long Biên, Hà Nội",3,2
"7,7 tỷ","58,5 m²","131,62 tr/m²","Văn Giang, Hưng Yên",6,4
"6,8 tỷ",102 m²,"66,67 tr/m²","Long Biên, Hà Nội",3,2
"4,5 tỷ",96 m²,"46,88 tr/m²","Tân Phú, Hồ Chí Minh",2,2
9 tỷ,78 m²,"115,38 tr/m²","Văn Giang, Hưng Yên",,
"2,7 tỷ",56 m²,"48,21 tr/m²","Bình Tân, Hồ Chí Minh",2,
"2,4 tỷ",43 m²,"55,81 tr/m²","Gia Lâm, Hà Nội",1,1
"8,65 tỷ",173 m²,50 tr/m²,"Văn Giang, Hưng Yên",,
"9,79 tỷ","67,5 m²","145,04 tr/m²","Văn Giang, Hưng Yên",7,
"7,15 tỷ",54 m²,"132,41 tr/m²","Văn Giang, Hưng Yên",,
22 tỷ,120 m²,"183,33 tr/m²","Hoài Đức, Hà Nội",5,4
"7,69 tỷ","51,48 m²","149,3 tr/m²","Quận 2, Hồ Chí Minh",1,1
140 tỷ,29.235 m²,"4,79 tr/m²","Bảo Lộc, Lâm Đồng",,
"11,5 tỷ",111 m²,"103,6 tr/m²","Tây Hồ, Hà Nội",3,2
Giá thỏa thuận,165 m²,,"Long Biên, Hà Nội",6,4
"2,1 tỷ",43 m²,"48,84 tr/m²","Gia Lâm, Hà Nội",1,
"4,95 tỷ",110 m²,45 tr/m²,"Thạch Thất, Hà Nội",,
"3,84 tỷ",80 m²,48 tr/m²,"Thủ Đức, Hồ Chí Minh",2,2
"16,3 tỷ",70 m²,"232,86 tr/m²","Quận 2, Hồ Chí Minh",2,2
3 tỷ,65 m²,"46,15 tr/m²","Văn Giang, Hưng Yên",2,2
12 tỷ,80 m²,150 tr/m²,"Hoài Đức, Hà Nội",4,3
"24,5 tỷ",385 m²,"63,64 tr/m²","Thủ Đức, Hồ Chí Minh",,
3 tỷ,65 m²,"46,15 tr/m²","Văn Giang, Hưng Yên",2,2
12 tỷ,80 m²,150 tr/m²,"Hoài Đức, Hà Nội",4,3
"24,5 tỷ",385 m²,"63,64 tr/m²","Thủ Đức, Hồ Chí Minh",,
Giá thỏa thuận,"46,5 m²",,"Nam Từ Liêm, Hà Nội",1,
Giá thỏa thuận,"111,98 m²",,"Nam Từ Liêm, Hà Nội",3,2
"5,5 tỷ",55 m²,100 tr/m²,"Thủ Đức, Hồ Chí Minh",1,1
"10,5 tỷ",108 m²,"97,22 tr/m²","Bình Thạnh, Hồ Chí Minh",3,2
14 tỷ,84 m²,"166,67 tr/m²","Quận 2, Hồ Chí Minh",2,2
Giá thỏa thuận,"73,7 m²",,"Sơn Tây, Hà Nội",,
26 tỷ,80 m²,325 tr/m²,"Đông Anh, Hà Nội",,
"4,3 tỷ",172 m²,25 tr/m²,"Khoái Châu, Hưng Yên",,
Giá thỏa thuận,132 m²,,"Hoài Đức, Hà Nội",4,3
"11,2 tỷ",80 m²,140 tr/m²,"Văn Giang, Hưng Yên",6,4
"8,9 tỷ",110 m²,"80,91 tr/m²","Thanh Xuân, Hà Nội",2,2
"9,4 tỷ",91 m²,"103,3 tr/m²","Đống Đa, Hà Nội",2,
"2,65 tỷ",59 m²,"44,92 tr/m²","Gia Lâm, Hà Nội",2,1
16 tỷ,80 m²,200 tr/m²,"Đông Anh, Hà Nội",,
Giá thỏa thuận,78 m²,,"Văn Giang, Hưng Yên",2,
"7,5 tỷ",70 m²,"107,14 tr/m²","Quận 1, Hồ Chí Minh",2,
"7,2 tỷ",142 m²,"50,7 tr/m²","Hoài Đức, Hà Nội",4,4
"2,9 tỷ",108 m²,"26,85 tr/m²","Ngũ Hành Sơn, Đà Nẵng",,
"9,8 tỷ",70 m²,140 tr/m²,"Văn Giang, Hưng Yên",,
9 tỷ,"90,11 m²","99,88 tr/m²","Thủ Đức, Hồ Chí Minh",2,2
